Time (min),Mean Intensity (A.U.),Protein Concentration (ng per µL),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
105.5,173.73657846450800,6.338365587362440,64.87579925652440,77850959107.8293,2030013706.36792
106.0,175.93272733688400,6.41848685232814,65.69587361646000,78835048339.75200,1971056273.2311200
106.5,178.1352984905240,6.4988424189413400,66.5183461508837,79822015381.06040,2024219947.5677200
107.0,180.4500904083250,6.583292093059280,67.38272357276640,80859268287.31970,2024014183.715870
107.5,182.6522023677830,6.663630907065540,68.20502463731360,81846029564.77630,2085535225.0503700
108.0,185.1042881011960,6.753089419298800,69.12066959364170,82944803512.37010,2166582892.686200
108.5,187.4872705936430,6.840026864245070,70.01051038121880,84012612457.4625,2105004908.3958300
109.0,189.80193543434100,6.9244719022573600,70.87484035063820,85049808420.76590,2090535735.3563500
109.5,192.1526277065280,7.010231315365340,71.75262349401570,86103148192.81890,2019759059.9075000
110.0,194.3093433380130,7.088913952384830,72.55797290056120,87069567480.67340,2124592003.2019000
110.5,196.89398670196500,7.183208514292690,73.5231168300173,88227740196.02080,2234118093.042270
111.0,199.29512691497800,7.270808400460020,74.41973797809640,89303685573.71570,2072878397.7962300
111.5,201.51993870735200,7.3519753638466,75.25051549484750,90300618593.81700,2055910572.1259900
112.0,203.88321256637600,7.438193786207270,76.13299678820140,91359596145.84160,2113241979.3931300
112.5,206.23596835136400,7.524028481668860,77.01155047767510,92413860573.21010,2152876199.7145200
113.0,208.68769216537500,7.613473790134030,77.92706028796350,93512472345.55620,2208935845.3552900
113.5,211.16555380821200,7.7038726750782,78.8523303488045,94622796418.5654,2241853040.413560
114.0,213.69073748588600,7.795997991841040,79.79527115497480,95754325385.96970,2303616169.4367100
114.5,216.30643320083600,7.891425424873170,80.77201049000180,96926412588.0021,2286385743.7935300
115.0,218.79316449165300,7.982147897814890,81.70059260813610,98040711129.76330,2133815480.037200
115.5,221.06837582588200,8.065153568539530,82.55019005669950,99060228068.0393,2156373971.5261500
116.0,223.60544991493200,8.157712678663310,83.49757091774120,100197085101.28900,2259873830.011020
116.5,226.1116373538970,8.249144962866260,84.43341824837530,101320101898.05000,2296809402.929760
117.0,228.73113894462600,8.344711244218510,85.411578753516,102493894504.21900,2269121131.009860
117.5,231.17553567886400,8.433889241615980,86.32435252421680,103589223029.06000,2258450042.4443100
118.0,233.7712230682370,8.528586718507520,87.29362045555290,104752344546.66300,2306827623.946700
118.5,236.32358193397500,8.62170345733231,88.24670887750570,105896050653.00700,2284433658.071400
119.0,238.86929368972800,8.714577692168830,89.1973151706124,107036778204.73500,2277854129.2139400
119.5,241.40696930885300,8.807158747685810,90.14492065185070,108173904782.22100,2398135707.1229100
120.0,244.2211081981660,8.909825907657090,91.19576159321480,109434913911.85800,2343268551.6764500
120.5,246.63633918762200,8.997939862268140,92.0976444449144,110517173333.89700,2318339502.4987900
121.0,249.3948450088500,9.098577382152200,93.12771117863050,111753253414.35700,2479187327.646880
121.5,252.1690330505370,9.199787030527390,94.16363388462020,112996360661.54400,2437966182.9977400
122.0,254.8355474472050,9.297068462217930,95.15934966446190,114191219597.35400,2351378809.7495000
122.5,257.41650223732000,9.391228455287830,96.12311622607810,115347739471.29400,2336260294.710270
123.0,260.049277305603,9.487278987878930,97.10623324338720,116527479892.06500,2550351279.2966200
123.5,263.1080095767980,9.598869555277230,98.24840895882530,117898090750.59000,2545137313.0322100
124.0,265.7291488647460,9.694495584114960,99.22718100424730,119072617205.0970,2391345820.5166500
124.5,268.4446713924410,9.793564960830950,100.2411971425890,120289436571.10700,2479565095.5493200
125.0,271.26268577575700,9.896373508977610,101.29348525053800,121552182300.64600,2558522967.387730
125.5,274.15441513061500,10.001871372425800,102.3732996154120,122847959538.49500,2545493820.806670
126.0,276.94335293769800,10.103619130888300,103.41473010121100,124097676121.45300,2375455851.2852200
126.5,279.45561599731400,10.195273069651200,104.35284615815000,125223415389.78000,2457430738.2721300
127.0,282.4274935722350,10.303694950162600,105.46258904977100,126555106859.72500,2684914107.8072400
127.5,285.44742131233200,10.413869826595200,106.5902745813230,127908329497.5870,2672762609.223530
128.0,288.3921809196470,10.521302372596900,107.6898912241240,129227869468.94800,2575353723.991580
128.5,291.19472551345800,10.623546542290200,108.7364026846490,130483683221.57900,2493066024.6691900
129.0,293.9558472633360,10.724279498105400,109.76744624468100,131720935493.61800,2463732069.2737900
129.5,296.69292855262800,10.824135394930200,110.78951274237700,132947415290.85200,2559431917.98555
130.0,299.6676194667820,10.932659913428000,111.90030617633600,134280367411.60300,2676097671.6134200
130.5,302.6650586128240,11.04201434702740,113.01959413538800,135623512962.46600,2614831003.9711500
131.0,305.5030233860020,11.14555073766800,114.07933201297900,136895198415.57400,2605202836.86026
131.5,308.47897577285800,11.254121277995100,115.19059649943800,138228715799.32600,2495389361.370100
132.0,311.0718746185300,11.348717021506200,116.15882314745400,139390587776.94400,2565431654.3072200
132.5,314.20413732528700,11.462990171850000,117.32845621136100,140794147453.63300,2672229824.0059200
133.0,317.0353729724880,11.56628106634400,118.3856813341250,142062817600.95000,2586919660.959500
133.5,319.9772527217870,11.67360854757980,119.48422259549400,143381067114.59300,2566954477.7465500
