Time (min),Mean Intensity (A.U.),Protein Concentration (ng per µL),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
546.0,53.03423547744750,1.9348278645363100,24.742044303533400,29690453164.240100,64361478.75475310
549.0,53.22825741767880,1.9419062932703400,24.832561295017200,29799073554.020600,57245470.4538517
552.0,53.64775991439820,1.9572108434837700,25.028271655802600,30033925986.963200,78934235.31887250
555.0,54.07422971725460,1.9727695792800200,25.227232471611500,30272678965.93380,66930898.77089250
558.0,54.365087270736700,1.9833808249031900,25.362926149657100,30435511379.588500,66012389.12122410
561.0,54.781713008880600,1.9985804234264200,25.55729441721770,30668753300.661200,76994506.8463281
564.0,55.19027066230770,2.0134856770801,25.747898683888800,30897478420.666500,74269343.5073363
567.0,55.57768964767460,2.027619736737790,25.928641134754300,31114369361.705200,56068018.89902500
570.0,55.791175842285200,2.0354082724696200,26.028238778383900,31233886534.060600,55747878.61060840
573.0,56.17516374588010,2.049417157274540,26.20738052780740,31448856633.368800,77045338.65502990
576.0,56.61690402030950,2.0655329998837400,26.41346547165900,31696158565.990800,78865984.99541540
579.0,57.02040457725530,2.0802537574077400,26.60171045278440,31922052543.341300,72749550.28768860
582.0,57.39659237861630,2.0939780740462200,26.777213223097500,32132655867.717000,71430170.09412130
585.0,57.7859525680542,2.108182953914550,26.958861303255100,32350633563.906100,66990851.385531700
588.0,58.11456227302550,2.1201714969379600,27.112167480025100,32534600976.030100,73603146.49412030
591.0,58.57478928565980,2.1369617841937500,27.326877035725700,32792252442.870800,80487708.7828846
594.0,58.97718381881710,2.1516421910720700,27.514606023939600,33017527228.727500,87119291.05915200
597.0,59.50848436355590,2.1710254269978700,27.762473491021400,33314968189.225700,80691213.98464010
600.0,59.841986417770400,2.1831924557400700,27.918062093862700,33501674512.635300,68082678.59388730
603.0,60.23815584182740,2.1976457543280800,28.102886883990900,33723464260.78900,48679876.893154100
606.0,60.363709688186600,2.20222628760529,28.161461478328500,33793753773.99420,77562377.12235960
609.0,61.06942534446720,2.2279726437829300,28.490698769602700,34188838523.52320,97618228.52823580
612.0,61.409926414489700,2.24039501495983,28.649552620969700,34379463145.163600,353096652.23127000
615.0,64.85371470451360,2.3660334348053500,30.256182030759000,36307418436.9108,377137383.75135200
618.0,65.45187067985540,2.3878557320066100,30.535239539726500,36642287447.671700,87445838.1575915
621.0,65.7909095287323,2.400224757524970,30.693411221547000,36832093465.856300,36373551.62109630
624.0,65.84170174598690,2.4020777906904600,30.717107297831900,36860528757.39830,-248322306.1018720
627.0,63.12953209877010,2.30313073583914,29.451799691037600,35342159629.24510,-204798976.95203700
630.0,63.646782636642500,2.3220013907022100,29.693112413071800,35631734895.686100,89148670.3803037
633.0,64.0849769115448,2.337987865957840,29.897543042939100,35877051651.52690,74161717.99726990
636.0,64.44160580635070,2.350998622439140,30.06392100305810,36076705203.66970,54531785.98281990
639.0,64.6694176197052,2.359309794277120,30.17020197285320,36204242367.42390,77840695.17867150
642.0,65.27585816383360,2.381434334254000,30.453124478951500,36543749374.74180,92425597.98679350
645.0,65.65998268127440,2.3954482030899600,30.632329962787200,36758795955.34460,77069186.22567880
648.0,66.1018419265747,2.4115683860682400,30.838470410079900,37006164492.095800,74705540.48984150
651.0,66.46063423156740,2.424658069421490,31.005857665236400,37207029198.28370,62916453.89792630
654.0,66.7761447429657,2.4361687195423300,31.153052679569500,37383663215.48340,83028476.12085980
657.0,67.35048627853390,2.4571222035847400,31.42100004584070,37705200055.00880,84428008.17733770
660.0,67.68099617958070,2.469180070739670,31.575192720456200,37890231264.54740,68220958.91024910
663.0,68.08163976669310,2.483796598518650,31.76210484039190,38114525808.47030,76490348.73665240
666.0,68.50077629089360,2.499087797095700,31.957644464139400,38349173356.96730,44653285.77618410
669.0,68.56020832061770,2.5012560332571400,31.985371269272900,38382445523.127400,47223484.39770640
672.0,69.0068907737732,2.517552179495210,32.19376188612800,38632514263.35360,99079470.62293750
675.0,69.62208580970760,2.539996106270710,32.48076862238760,38976922346.86510,99800125.5213623
678.0,70.07649183273320,2.5565740285740600,32.69276251373480,39231315016.481700,72538614.96597670
681.0,70.39951348304750,2.5683587047224000,32.843461697217400,39412154036.66090,52877027.0811615
684.0,70.64319777488710,2.577248946162790,32.957147649140600,39548577178.968700,54162104.146053300
687.0,70.97999215126040,2.5895360874435100,33.1142722179477,39737126661.53720,61687859.09224190
690.0,71.30433320999150,2.6013688990678600,33.26558694460180,39918704333.522200,95985426.29843390
693.0,72.00870943069460,2.6270663891262000,33.594199349439900,40313039219.327800,102176251.18922400
696.0,72.39940023422240,2.641319813282850,33.776468200547900,40531761840.6575,87598066.63327920
699.0,72.94753575325010,2.6613172331798100,34.03218968260630,40838627619.12750,79024598.03526050
702.0,73.24634099006650,2.672218431114630,34.17159119072420,41005909428.869100,49959281.2616717
705.0,73.48297095298770,2.680851312153120,34.28198608891460,41138383306.69750,66847587.9947052
708.0,73.9627754688263,2.698355838020560,34.50582913069780,41406994956.837300,72514500.44491070
711.0,74.26014018058780,2.7092044818270800,34.64455859113920,41573470309.367000,77513547.4417928
714.0,74.79352164268490,2.7286636350703000,34.8933968679067,41872076241.48810,82336429.40886690
717.0,75.14257526397710,2.74139802572595,35.05624073818350,42067488885.820200,75902546.1627655
720.0,75.6070020198822,2.7583415306199500,35.272909598720500,42327491518.464600,54954568.70683540
723.0,75.73154711723330,2.762885262090320,35.3310135817177,42397216298.06120,47508542.95206320
726.0,76.11617159843450,2.776917370914200,35.510452313480900,42612542776.177000,96167419.74569450
729.0,76.76221489906310,2.800486723210890,35.811850680446200,42974220816.535400,100300101.40782900
732.0,77.19113111495970,2.8161347105646600,36.01195282052000,43214343384.624,51770295.141150200
735.0,77.31705951690670,2.820728908611080,36.07070215615190,43284842587.382300,49049736.69686250
738.0,77.71681833267210,2.8353131576131400,36.257201504004300,43508641804.805200,104075269.72307100
741.0,78.4324791431427,2.8614223390728000,36.59107850476730,43909294205.72070,92689678.68749620
744.0,78.71021366119390,2.8715548219799500,36.7206498974418,44064779876.93020,65049054.047252700
747.0,79.12963795661930,2.8868565192052800,36.916323775003500,44299588530.00420,89040355.24832540
750.0,79.66449761390690,2.906369600882040,37.165851673683400,44599022008.420100,65644598.18325040
753.0,79.83317947387700,2.9125235570949300,37.24454676591980,44693456119.10370,40690228.85862220
756.0,80.10059237480160,2.922279480365770,37.36930281797650,44843163381.57180,73317598.53066640
759.0,80.6189558506012,2.9411907381204200,37.6111347585731,45133361710.28770,92443327.94370530
762.0,81.0913474559784,2.9584248215917500,37.831519457695100,45397823349.23410,93457717.28505830
765.0,81.6205825805664,2.9777327055788700,38.0784233449984,45694108013.99810,80738753.40485380
768.0,81.95665955543520,2.9899936741730500,38.23521322471930,45882255869.66320,78135274.96459200
771.0,82.45799207687380,3.00828359809003,38.46909971982140,46162919663.78560,77287262.47106300
774.0,82.7849805355072,3.020212993799240,38.621649537074600,46345979444.48960,60375486.34714000
777.0,83.10506224632260,3.031890413251760,38.77097715155710,46525172581.86850,75666317.28897860
780.0,83.59592914581300,3.0497985238592300,38.99998112351950,46799977348.22340,86306960.93812050
783.0,84.03005123138430,3.065636434978570,39.20251195624770,47043014347.49720,69936271.06498720
786.0,84.34546637535100,3.0771436058456400,39.34966247884450,47219594974.613400,77800763.8453598
789.0,84.8638756275177,3.0960565336421000,39.59151577547450,47509818930.56940,78733866.78452810
792.0,85.18929123878480,3.107928547758390,39.74333181276710,47691998175.32050,79873722.82219700
795.0,85.71991682052610,3.1272871592655800,39.99088438958540,47989061267.50250,88211207.25097910
798.0,86.13468885421750,3.1424191297935200,40.184387849022,48221265418.82640,41417957.943115200
801.0,86.16381096839910,3.1434815808213400,40.19797417930100,48237569015.161200,53871795.5668157
804.0,86.71205615997310,3.1634830018601500,40.45374682685610,48544496192.2273,104153530.68719000
807.0,87.28006935119630,3.184205611320030,40.71874183273700,48862490199.28440,77818627.27747470
810.0,87.54607200622560,3.1939100851256400,40.84283996324350,49011407955.89220,72012767.13485970
813.0,88.05186128616330,3.2123626032697600,41.07880566841130,49294566802.09350,81256703.95277910
816.0,88.4169352054596,3.225681456371180,41.24912348300740,49498948179.608800,54011944.536104800
819.0,88.63073062896730,3.233481273583380,41.34886539109180,49618638469.31020,64248981.39956670
822.0,89.10551929473880,3.2508028080984100,41.5703683900052,49884442068.006200,102294910.64988800
825.0,89.72706937789920,3.2734785836474800,41.860339944341200,50232407933.20950,78531006.7129504
828.0,89.94717001914980,3.2815084317231700,41.96302342357000,50355628108.28390,73382600.95737200
831.0,90.51354241371160,3.302171180621820,42.227252949128100,50672703538.95370,66058171.11785760
834.0,90.65514397621160,3.3073371766302500,42.29331427915920,50751977134.99110,72051897.61692170
837.0,91.28575372695920,3.3303434725900300,42.58751243721270,51105014924.65520,100849418.6298290
840.0,91.73599076271060,3.346769299314520,42.79756137230840,51357073646.77010,63414093.968240100
843.0,91.96538996696470,3.355138383331620,42.90458290705390,51485499488.46470,75509995.57355370
846.0,92.54526400566100,3.3762937075837700,43.17511135017620,51810133620.21140,88911640.655262
849.0,92.91829442977910,3.3899028348278200,43.34914111033020,52018969332.396300,54146509.7924881
852.0,93.12557554245000,3.3974649929126400,43.44584389913860,52135012678.9663,85172933.31790160
855.0,93.83112955093380,3.423205451755120,43.77500577691970,52530006932.303700,77648179.4357783
858.0,93.95776462554930,3.427825431072030,43.834084796317500,52600901755.58100,88407215.5951678
861.0,94.77862787246700,3.457772673052830,44.21704185489560,53060450225.87470,95898000.03664140
864.0,94.98554491996770,3.465321549086350,44.313574796500700,53176289755.80080,68104457.29879630
867.0,95.50853276252750,3.484401515856660,44.55756414138960,53469076969.66750,85291259.09054440
870.0,95.89964818954470,3.498670431390760,44.74003109195340,53688037310.344100,82952817.92331310
873.0,96.3975739479065,3.5168360676646800,44.9723282310061,53966793877.20730,67691529.49436440
876.0,96.62512755393980,3.5251378194230500,45.078488739425200,54094186487.31030,81885972.82488000
879.0,97.27518129348760,3.548853483039210,45.38175809513050,54458109714.15660,82320924.03877000
882.0,97.50739645957950,3.5573253007222100,45.49009335961910,54588112031.54290,69765289.32245640
885.0,98.02288603782650,3.5761317111642900,45.730584541742800,54876701450.09140,77340229.8831075
888.0,98.33628511428830,3.5875653306065100,45.87679450903460,55052153410.84150,50573689.89385610
891.0,98.5649061203003,3.5959060239127800,45.98345299121210,55180143589.45450,59134945.51026540
894.0,98.97005987167360,3.6106870943010200,46.17246923658590,55406963083.90310,95775736.74533590
897.0,99.59137606620790,3.63335433698021,46.46233167493870,55754798009.9265,107002736.98693500
900.0,100.116854429245,3.652525164462910,46.70748292152060,56048979505.82470,84676561.26207730
903.0,100.49889135360700,3.6664628724336800,46.88571448124910,56262857377.49900,46811713.37842050
